PID PPID CMD
1 0 /sbin/init
2 0 [kthreadd]
3 2 [rcu_gp]
4 2 [rcu_par_gp]
6 2 [kworker/0:0H-kblockd]
9 2 [mm_percpu_wq]
10 2 [ksoftirqd/0]
11 2 [rcu_sched]
12 2 [migration/0]
13 2 [idle_inject/0]
14 2 [cpuhp/0]
15 2 [cpuhp/1]
16 2 [idle_inject/1]
17 2 [migration/1]
18 2 [ksoftirqd/1]
20 2 [kworker/1:0H-kblockd]
21 2 [kdevtmpfs]
22 2 [netns]
23 2 [rcu_tasks_kthre]
24 2 [rcu_tasks_rude_]
25 2 [rcu_tasks_trace]
26 2 [kauditd]
27 2 [khungtaskd]
28 2 [oom_reaper]
29 2 [writeback]
30 2 [kcompactd0]
31 2 [ksmd]
32 2 [khugepaged]
79 2 [kintegrityd]
80 2 [kblockd]
81 2 [blkcg_punt_bio]
82 2 [tpm_dev_wq]
83 2 [ata_sff]
84 2 [md]
85 2 [edac-poller]
86 2 [devfreq_wq]
87 2 [watchdogd]
89 2 [pm_wq]
91 2 [kswapd0]
92 2 [ecryptfs-kthrea]
94 2 [kthrotld]
95 2 [acpi_thermal_pm]
96 2 [scsi_eh_0]
97 2 [scsi_tmf_0]
98 2 [scsi_eh_1]
99 2 [scsi_tmf_1]
101 2 [vfio-irqfd-clea]
102 2 [ipv6_addrconf]
113 2 [kstrp]
116 2 [zswap-shrink]
117 2 [kworker/u5:0]
122 2 [charger_manager]
123 2 [kworker/1:1H-kblockd]
167 2 [hv_vmbus_con]
168 2 [hv_pri_chan]
169 2 [hv_sub_chan]
175 2 [scsi_eh_2]
176 2 [scsi_eh_3]
177 2 [scsi_tmf_2]
178 2 [storvsc_error_w]
179 2 [scsi_tmf_3]
180 2 [storvsc_error_w]
181 2 [kworker/0:1H-kblockd]
202 2 [jbd2/sda5-8]
203 2 [ext4-rsv-conver]
241 1 /lib/systemd/systemd-journald
272 2 [loop0]
278 2 [loop1]
282 1 /lib/systemd/systemd-udevd
283 2 [loop2]
284 2 [loop3]
285 2 [loop4]
286 2 [loop5]
287 2 [loop6]
288 2 [loop7]
289 2 [loop8]
291 2 [loop9]
318 2 [hv_balloon]
325 2 [cryptd]
459 1 /lib/systemd/systemd-resolved
462 1 /lib/systemd/systemd-timesyncd
497 1 /usr/lib/accountsservice/accounts-daemon
498 1 /usr/sbin/acpid
501 1 avahi-daemon:
502 1 /usr/sbin/cron
504 1 /usr/bin/dbus-daemon
506 1 /usr/sbin/NetworkManager
517 1 /usr/sbin/irqbalance
521 1 /usr/bin/python3
523 1 /usr/lib/policykit-1/polkitd
533 1 /usr/sbin/rsyslogd
538 1 /usr/lib/snapd/snapd
539 1 /usr/libexec/switcheroo-control
540 1 /lib/systemd/systemd-logind
541 1 /usr/lib/udisks2/udisksd
544 1 /sbin/wpa_supplicant
547 501 avahi-daemon:
596 1 /usr/sbin/cupsd
602 1 /usr/sbin/ModemManager
604 1 /usr/sbin/cups-browsed
612 1 /usr/bin/python3
661 1 /usr/bin/whoopsie
665 1 /usr/sbin/kerneloops
669 1 /usr/sbin/kerneloops
747 1 /usr/sbin/gdm3
757 1 /lib/systemd/systemd
758 757 (sd-pam)
765 757 /usr/libexec/tracker-miner-fs
768 757 /usr/bin/dbus-daemon
776 1 /usr/libexec/rtkit-daemon
782 757 /usr/libexec/gvfsd
797 757 /usr/libexec/gvfsd-fuse
804 757 /usr/libexec/gvfs-udisks2-volume-monitor
811 757 /usr/libexec/gvfs-goa-volume-monitor
816 757 /usr/libexec/goa-daemon
845 757 /usr/libexec/goa-identity-service
849 757 /usr/libexec/gvfs-mtp-volume-monitor
854 757 /usr/libexec/gvfs-gphoto2-volume-monitor
860 757 /usr/libexec/gvfs-afc-volume-monitor
866 1 /usr/lib/upower/upowerd
884 747 gdm-session-worker
889 884 /usr/lib/gdm3/gdm-x-session
893 889 /usr/lib/xorg/Xorg
907 889 dbus-run-session
908 907 dbus-daemon
909 907 /usr/libexec/gnome-session-binary
920 1 /usr/libexec/at-spi-bus-launcher
925 920 /usr/bin/dbus-daemon
963 909 /usr/bin/gnome-shell
981 963 ibus-daemon
984 981 /usr/libexec/ibus-dconf
987 1 /usr/libexec/ibus-x11
991 1 /usr/libexec/ibus-portal
1000 1 /usr/libexec/at-spi2-registryd
1004 1 /usr/libexec/xdg-permission-store
1010 757 /usr/bin/pulseaudio
1023 1 /usr/bin/gjs
1032 909 /usr/libexec/gsd-sharing
1033 909 /usr/libexec/gsd-wacom
1036 909 /usr/libexec/gsd-color
1038 909 /usr/libexec/gsd-keyboard
1039 909 /usr/libexec/gsd-print-notifications
1040 909 /usr/libexec/gsd-rfkill
1043 909 /usr/libexec/gsd-smartcard
1045 981 /usr/libexec/ibus-engine-simple
1047 909 /usr/libexec/gsd-datetime
1057 909 /usr/libexec/gsd-media-keys
1058 909 /usr/libexec/gsd-screensaver-proxy
1059 909 /usr/libexec/gsd-sound
1060 909 /usr/libexec/gsd-a11y-settings
1061 909 /usr/libexec/gsd-housekeeping
1063 909 /usr/libexec/gsd-power
1086 1 /usr/libexec/gsd-printer
1118 1 /usr/libexec/colord
1159 747 gdm-session-worker
1169 1 /lib/systemd/systemd
1170 1169 (sd-pam)
1175 1169 /usr/bin/pulseaudio
1178 1169 /usr/libexec/tracker-miner-fs
1181 1169 /usr/bin/dbus-daemon
1184 1 /usr/bin/gnome-keyring-daemon
1189 1169 /usr/libexec/gvfsd
1205 1169 /usr/libexec/gvfsd-fuse
1208 1169 /usr/libexec/gvfs-udisks2-volume-monitor
1218 1169 /usr/libexec/gvfs-goa-volume-monitor
1222 1169 /usr/libexec/goa-daemon
1231 1169 /usr/libexec/goa-identity-service
1234 1169 /usr/libexec/gvfs-mtp-volume-monitor
1241 1169 /usr/libexec/gvfs-gphoto2-volume-monitor
1246 1169 /usr/libexec/gvfs-afc-volume-monitor
1262 1159 /usr/lib/gdm3/gdm-x-session
1264 1262 /usr/lib/xorg/Xorg
1276 1262 /usr/libexec/gnome-session-binary
1343 1276 /usr/bin/ssh-agent
1368 1169 /usr/libexec/at-spi-bus-launcher
1373 1368 /usr/bin/dbus-daemon
1396 1169 /usr/libexec/gnome-session-ctl
1403 1169 /usr/libexec/gnome-session-binary
1419 1169 /usr/bin/gnome-shell
1444 1419 ibus-daemon
1448 1444 /usr/libexec/ibus-dconf
1449 1444 /usr/libexec/ibus-extension-gtk3
1453 1169 /usr/libexec/ibus-x11
1457 1169 /usr/libexec/ibus-portal
1467 1169 /usr/libexec/at-spi2-registryd
1471 1169 /usr/libexec/xdg-permission-store
1476 1169 /usr/libexec/gnome-shell-calendar-server
1482 1169 /usr/libexec/evolution-source-registry
1491 1169 /usr/libexec/evolution-calendar-factory
1495 1169 /usr/libexec/dconf-service
1506 1169 /usr/libexec/evolution-addressbook-factory
1521 1169 /usr/bin/gjs
1529 1189 /usr/libexec/gvfsd-trash
1538 1169 /usr/libexec/gsd-a11y-settings
1539 1169 /usr/libexec/gsd-color
1540 1169 /usr/libexec/gsd-datetime
1541 1169 /usr/libexec/gsd-housekeeping
1544 1169 /usr/libexec/gsd-keyboard
1545 1169 /usr/libexec/gsd-media-keys
1550 1169 /usr/libexec/gsd-power
1551 1169 /usr/libexec/gsd-print-notifications
1552 1169 /usr/libexec/gsd-rfkill
1556 1169 /usr/libexec/gsd-screensaver-proxy
1562 1169 /usr/libexec/gsd-sharing
1569 1169 /usr/libexec/gsd-smartcard
1571 1169 /usr/libexec/gsd-sound
1575 1169 /usr/libexec/gsd-usb-protection
1579 1169 /usr/libexec/gsd-wacom
1588 1169 /usr/libexec/gsd-wwan
1594 1169 /usr/libexec/gsd-printer
1595 1169 /usr/libexec/gsd-xsettings
1613 1403 /usr/libexec/gsd-disk-utility-notify
1627 1403 /usr/libexec/evolution-data-server/evolution-alarm-notify
1678 1444 /usr/libexec/ibus-engine-simple
1718 1169 /usr/libexec/gnome-terminal-server
1726 1718 bash
1741 1718 bash
1775 1169 /usr/libexec/gvfsd-metadata
1779 1403 update-notifier
2060 757 /usr/libexec/gvfsd-metadata
2894 1726 nano
3031 1 /usr/libexec/dconf-service
3491 2 [kworker/u4:1-events_power_efficient]
3526 2 [kworker/1:2-events]
4778 2 [kworker/1:1-events]
6226 2 [kworker/0:0-events]
6239 1718 bash
6255 2 [kworker/u4:2-events_unbound]
16972 2 [kworker/0:2-events]
16973 2 [kworker/0:3-events]
17059 2 [kworker/1:0-events]
17060 2 [kworker/1:3]
25644 2 [kworker/u4:0]
27790 1741 /bin/bash
27791 27790 ps
27792 27790 awk
